Date,TIP_ret,TIP_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2025-02-25,0.004205164261258,0.0027561554489978,0,0.9642151162251704,0.03578488377488221,0.03578488377488221,1.0,0.0024968141031354004
2025-02-26,0.0008206476462453,0.0027559264876605,0,0.919212360723156,0.08078763927682427,0.08078763927682427,1.0,0.0022549485274986204
2025-02-27,-0.001185572197912,0.0027551860478136,0,0.740546557521813,0.2594534424782391,0.2594534424782391,1.0,0.0016126469448361207
2025-02-28,0.0069116120500243,0.0030752389026604,1,0.09129048001629356,0.9087095199836612,0.9087095199836612,1.0,0.0025905869358311606
2025-03-03,0.0027151398875134,0.0030945891442402,1,0.03366718818437218,0.9663328118156167,0.9663328118156167,1.0,0.0026933983294258005
2025-03-04,-0.003531171611837,0.0032559855853517,1,0.0030098928352889276,0.9969901071646556,0.9969901071646556,1.0,0.0011461311548068005
2025-03-05,-0.0050922680869969,0.0035140302754144,1,1.7219961844665386e-05,0.9999827800381985,0.9999827800381985,0.5000086099809007,-3.645199184163957e-05
2025-03-06,-0.0004559393267818,0.0034006089228692,1,5.753190092632912e-06,0.9999942468098848,0.9999942468098848,1.0,0.00010947458238440046
2025-03-07,-0.001643018407923,0.003397382975825,1,3.9376962422045594e-06,0.9999960623037162,0.9999960623037162,0.5000019688481419,-0.0016014515092050597
2025-03-10,0.0044664682646408,0.0034396708047112,1,1.7138293652582518e-06,0.9999982861706846,0.9999982861706846,0.5000008569146577,-0.0012511858337795796
2025-03-11,-0.0027322741655629,0.0035240095178959,1,9.259874992069066e-07,0.9999990740124953,0.9999990740124953,0.5000004629937523,-0.0010914063445247597
2025-03-12,-0.001186365498028,0.0035408254110959,1,2.7082576238492277e-06,0.999997291742404,0.999997291742404,0.500001354128798,-0.0003102258267309797
2025-03-13,0.0014598427040607,0.0031966645031914,1,7.634384226518006e-05,0.9999236561577391,0.9999236561577391,1.0,7.293057943752031e-05
2025-03-14,-0.002373345841967,0.0030734191466381,1,0.00021917374157536798,0.9997808262584615,0.9997808262584615,0.5001095868707692,-7.313490737127963e-05
2025-03-17,0.0002742684379284,0.0030563321887794,1,0.0004384041853151225,0.9995615958147128,0.9995615958147128,0.5002192020926436,-0.0009115748727137595
2025-03-18,0.0010957455944076,0.0029379473170824,1,0.0005960316002228338,0.9994039683997779,0.9994039683997779,0.5002980158001111,-0.00014597092071965957
2025-03-19,0.0050978310368377,0.0030924839325265,1,0.00045473599987395366,0.9995452640000734,0.9995452640000734,1.0,0.0011108683862534805
2025-03-20,0.0009076164791255,0.0030783683434732,1,0.0007229302096174317,0.9992770697904269,0.9992770697904269,1.0,0.0010004231412664405
2025-03-21,-0.0011800477911351,0.0030891826394765,1,0.0010168170445673031,0.9989831829554343,0.9989831829554343,1.0,0.0012390827514328206
2025-03-24,-0.002546397486486,0.0031367599076914,1,0.0014932112205628973,0.9985067887794277,0.9985067887794277,1.0,0.0006749495665499403
2025-03-25,0.0016376370710099,0.0030189098722156,1,0.0031377872083874613,0.9968622127916328,0.9968622127916328,1.0,0.0007833278618704004
2025-03-26,-0.0012733660900654,0.0030315523887187,1,0.00466285563977175,0.9953371443601754,0.9953371443601754,0.5023314278199122,-0.0004909115635102196
2025-03-27,0.002091180026621,0.0030487163065891,1,0.006353399784468161,0.9936466002154767,0.9936466002154767,0.5031766998922617,-0.00025419885401111966
2025-03-28,0.0050739563485676,0.0028585771655556,1,0.008456897388506062,0.9915431026115225,0.9915431026115225,1.0,0.0009966019739294206
2025-03-31,0.0039686210858973,0.0029308302190582,1,0.011138080014248295,0.9888619199857879,0.9888619199857879,1.0,0.0022996056884060805
2025-04-01,0.0006249702862892,0.0027963916801819,1,0.01406785192659032,0.9859321480734482,0.9859321480734482,1.0,0.0020970723314619405
2025-04-02,-0.0015404269419319,0.0025284630868456,1,0.014097557784706966,0.9859024422152866,0.9859024422152866,1.0,0.0020436601610886404
2025-04-03,0.0062373908905139,0.0028102304172086,1,0.006988583379871846,0.993011416620073,0.993011416620073,1.0,0.0028729023338672204
2025-04-04,-0.0033397899216369,0.002915417540324,1,0.0034248152859466504,0.9965751847141017,0.9965751847141017,1.0,0.0011901530798263203
2025-04-07,-0.0120982711750285,0.0039865639554363,1,1.1665749227632233e-10,0.9999999998833573,0.9999999998833573,0.5000000000583213,-0.0020232253723588395
2025-04-08,-0.0024739997263772,0.0039776218406657,1,9.38622250871204e-09,0.9999999906137873,0.9999999906137873,0.5000000046931063,-0.0026430193748921194
2025-04-09,0.0021079443914858,0.0039930914745261,1,1.437422739472976e-08,0.9999999856257774,0.9999999856257774,0.5000000071871114,-0.0019133451082085796
2025-04-10,-0.011972916253201,0.0048132905573987,1,1.3466682299881636e-17,1.0,1.0,0.5,-0.00555540653695156
2025-04-11,0.0003706089487531,0.0047956789881878,1,2.5702306950004865e-13,0.9999999999997726,0.9999999999997726,0.5000000000001137,-0.00481332676287356
2025-04-14,0.0048044464354667,0.0049316184218287,1,1.851973050605823e-14,1.0,1.0,0.5,-0.0014327832407745197
2025-04-15,-9.21410818029696e-05,0.0049233475279086,1,2.963542053991737e-14,1.0,1.0,0.5,-0.0009564115118596737
2025-04-16,0.0027617721703746,0.0048181371340457,1,1.822885378404561e-13,0.9999999999997726,0.9999999999997726,0.5000000000001137,-0.0008256459560819138
2025-04-17,0.002295508680309,0.0048463058743702,1,1.2120606904224217e-13,0.9999999999998863,0.9999999999998863,1.0,0.002028039030620086
2025-04-21,-0.0051494304232479,0.0049671544077549,1,1.4228485724112396e-15,1.0,1.0,1.0,0.0009240311562198862
2025-04-22,0.0036809610346455,0.005022095048152,1,5.46699398953698e-15,1.0,1.0,1.0,0.0006993340760556462
