Date,NVDA_ret,NVDA_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2022-08-04,0.0168995710791416,0.0290948964797256,0,0.9992117717819639,0.0007882282177914396,0.9992117717819639,1.0,0.013241799094498477
2022-08-05,-0.0118314443438861,0.0293970155381077,0,0.9994966826484282,0.0005033173518717954,0.9994966826484282,1.0,0.008894627191682918
2022-08-08,-0.0650546305908214,0.0316612929157619,0,0.9999982712685259,1.7287313210815077e-06,0.9999982712685259,0.500000864365737,-0.007154300948109982
2022-08-09,-0.0405457915560497,0.033388773744729,0,0.9999976038463105,2.396153932517798e-06,0.9999976038463105,0.5000011980768447,-0.016183152408232683
2022-08-10,0.057486832952287,0.0352969717862122,0,0.9999995650142446,4.349857630356943e-07,0.9999995650142446,0.5000002174928777,-0.008609092491865719
2022-08-11,-0.0086018992150997,0.035487829657028,0,0.999997559460348,2.4405393018005494e-06,0.999997559460348,0.5000012202698261,-0.013709386550713982
2022-08-12,0.0418604947265849,0.0361131126942648,0,0.9999993315825537,6.684177920512411e-07,0.9999993315825537,0.5000003342087231,-0.0029709987366197802
2022-08-15,0.0171167633206495,0.036047944671204,0,0.999998213034592,1.7869656888413884e-06,0.999998213034592,1.0,0.013463280045674398
2022-08-16,-0.0080713239167049,0.034563218379623,0,0.9999944197935463,5.580206615517589e-06,0.9999944197935463,1.0,0.019958173573543358
2022-08-17,-0.0292385008129005,0.0339268435914279,0,0.9999963273998357,3.672600097255165e-06,0.9999963273998357,1.0,0.0026131068205058573
2022-08-18,0.0236080016876025,0.0341889334766837,0,0.9999924840749876,7.515925092749899e-06,0.9999924840749876,1.0,0.009055087001046297
2022-08-19,-0.0504724877891355,0.0348522048818779,0,0.9999997183222545,2.816781231196744e-07,0.9999997183222545,0.5000001408388728,-0.009411509502097784
2022-08-22,-0.0467360998235686,0.0362835098476773,0,0.9999998910288982,1.0897084813048481e-07,0.9999998910288982,0.500000054485551,-0.022182082130941406
2022-08-23,0.0085929215027315,0.0356568659919135,0,0.9999967633409681,3.236658803703916e-06,0.9999967633409681,0.500001618329516,-0.018849233047054124
2022-08-24,0.002383687315449,0.0314676563920775,0,0.99992578167203,7.421832786136231e-05,0.99992578167203,0.500037109163985,-0.012524795421384221
2022-08-25,0.0393386769390989,0.0326833487693782,0,0.9999853231087624,1.4676891453326606e-05,0.9999853231087624,0.5000073384456187,-0.009378660371084943
2022-08-26,-0.0968181857491229,0.0390409940102188,0,0.999999999994543,5.800778707326882e-12,0.999999999994543,0.5000000000027285,-0.018647799963082422
2022-08-29,-0.0286350354862775,0.0390464861665885,0,0.9999999708315959,2.9168393880448602e-08,0.9999999708315959,0.5000000145842021,-0.015027587095624203
2022-08-30,-0.0212998071329925,0.0390457196080225,0,0.9999999547544586,4.5245787481347266e-08,0.9999999547544586,0.5000000226227708,-0.021006132822769003
2022-08-31,-0.0244761433482581,0.0385858043788533,0,0.999999938620933,6.13793425791727e-08,0.999999938620933,0.5000000306895336,-0.02637809895551042
2022-09-01,-0.0797500620060238,0.0408631289595497,0,0.9999999999872671,1.285953922985838e-11,0.9999999999872671,0.5000000000063665,-0.050195846744534964
2022-09-02,-0.0210274556008107,0.0408648149564057,0,0.9999999938145265,6.185911996866078e-09,0.9999999938145265,0.5000000030927367,-0.03503770071487252
2022-09-06,-0.0134261613860749,0.0392355276137963,0,0.9999999466645036,5.333559748647772e-08,0.9999999466645036,0.5000000266677482,-0.03199592589483201
2022-09-07,0.0186208303045011,0.0393539189552477,0,0.9999999313413378,6.865879408723121e-08,0.9999999313413378,0.5000000343293312,-0.024011798407333283
2022-09-08,0.0199255370631618,0.0367230008423732,0,0.9999990973205495,9.026794052612459e-07,0.9999990973205495,0.5000004513397253,-0.015131462325049305
2022-09-09,0.0279821653427673,0.0378401662170524,0,0.9999997468039831,2.5319601710849854e-07,0.9999997468039831,1.0,0.006414983144708916
2022-09-12,0.0081683564078646,0.036070371301218,0,0.9999981549734652,1.8450269355709719e-06,0.9999981549734652,1.0,0.012254145546443978
2022-09-13,-0.0995175445868412,0.0401876721546776,0,0.9999999999990905,9.206978401220154e-13,0.9999999999990905,0.5000000000004547,-0.004964131093709284
2022-09-14,-0.0002285092248542,0.0403332245437492,0,0.9999999764168027,2.358324654227138e-08,0.9999999764168027,0.5000000117915986,-0.008733998999580344
2022-09-15,-0.0152746058425726,0.0402519582295244,0,0.9999999836563803,1.6343286641113247e-08,0.9999999836563803,0.5000000081718099,-0.015774027580727223
2022-09-16,0.0205926160901282,0.0400954102589785,0,0.9999999700294215,2.997088404376461e-08,0.9999999700294215,0.5000000149852892,-0.017251937431255044
2022-09-19,0.0138451649022352,0.0398991657068941,0,0.9999999594274421,4.0572975487414056e-08,0.9999999594274421,0.5000000202862789,-0.01611657573238092
