Date,PEP_ret,PEP_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2018-05-10,0.0114770512690469,0.0129918579311884,0,0.9994963033146584,0.0005036966853319971,0.0005036966853319971,0.999748151657334,-0.0006773418909057774
2018-05-11,0.0016435034941653,0.0126796082326269,0,0.999746082883488,0.0002539171168356438,0.0002539171168356438,0.9998730414415822,-0.003176942362652837
2018-05-14,-0.0028780555183411,0.0123984995179489,0,0.999835448860189,0.00016455113942385858,0.00016455113942385858,0.9999177244302881,-0.002211177975376477
2018-05-15,-0.0036089820683662,0.0123837816450196,0,0.9998558054691387,0.0001441945304652792,0.0001441945304652792,1.0,2.0689066881082393e-05
2018-05-16,0.0040208678614564,0.0122541612488982,0,0.9998713512300286,0.00012864877005172348,0.00012864877005172348,1.0,0.0021308770075922625
2018-05-17,0.0074828963608711,0.0123771982897162,0,0.9998491272764284,0.00015087272331920133,0.00015087272331920133,1.0,0.0013320460259571023
2018-05-18,-0.0041958874795553,0.0107732615074293,0,0.9998918950934952,0.00010810490677292276,0.00010810490677292276,1.0,0.00016416783121298243
2018-05-21,0.0203032599356614,0.0119072643249919,0,0.9994323807720813,0.0005676192278044887,0.0005676192278044887,1.0,0.0048004309220134826
2018-05-22,0.0042115472211213,0.0117465307762322,0,0.9998548629388083,0.00014513706096728278,0.00014513706096728278,1.0,0.006364536779910982
2018-05-23,0.0051901347932911,0.0118081447637664,0,0.9999161942099604,8.380578982282542e-05,8.380578982282542e-05,1.0,0.006598390166277923
2018-05-24,-0.0026911624027037,0.0107281432412988,0,0.999960003468441,3.9996531744504265e-05,3.9996531744504265e-05,1.0,0.004563578413562962
2018-05-25,0.0012965775022117,0.0102493434651659,0,0.9999709063207279,2.9093679067182853e-05,2.9093679067182853e-05,1.0,0.0056620714099163616
2018-05-29,0.0078447439360416,0.0102833561561572,0,0.999963256683466,3.674331619723053e-05,3.674331619723053e-05,1.0,0.0031703682099924026
2018-05-30,0.0071948233721358,0.0094523423336091,0,0.9999714832484394,2.8516751128460794e-05,2.8516751128460794e-05,1.0,0.0037670234401953025
2018-05-31,-0.0064829423136347,0.0083421154264061,0,0.9999733125037487,2.6687495856197398e-05,2.6687495856197398e-05,1.0,0.001432408018810142
2018-06-01,0.0,0.0083419525016023,0,0.9999798334734646,2.016652679059491e-05,2.016652679059491e-05,1.0,0.001970640499350882
2018-06-04,-0.0012975874935163,0.0078386819232619,0,0.9999789772809623,2.102271946915822e-05,2.102271946915822e-05,1.0,0.0014518075002052822
2018-06-05,0.0008988549584257,0.0075655601134092,0,0.9999779980745482,2.2001925191671513e-05,2.2001925191671513e-05,1.0,6.262970468210222e-05
2018-06-06,0.0061676454044255,0.0065878277358379,0,0.9999666309833282,3.336901651825284e-05,3.336901651825284e-05,0.9999833154917408,-0.0001428058888599577
2018-06-07,0.003267737763457,0.0062356830508505,0,0.9999623975685088,3.760243152982769e-05,3.760243152982769e-05,1.0,0.0018073301265583823
