Date,ETHA_ret,ETHA_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2025-02-07,-0.0507571847711879,0.0580026282859915,1,9.806975006398476e-08,0.9999999019302143,0.9999999019302143,0.5000000490348928,-0.04972902705269011
2025-02-10,0.0380616908885251,0.0590646439795396,1,1.2257807087715155e-07,0.9999998774219496,0.9999998774219496,0.5000000612890252,-0.0017612667685508703
2025-02-11,-0.0355126587846888,0.0584897245380175,1,9.053207016058135e-08,0.9999999094678783,0.9999999094678783,0.5000000452660609,-0.010657962209213391
2025-02-12,0.032559927110463,0.0580641614962,1,2.441647667126266e-07,0.9999997558352631,0.9999997558352631,0.5000001220823684,-0.0063066063973510915
2025-02-13,-0.00990601253776,0.0554038417110373,1,1.2015023591444389e-06,0.9999987984976256,0.9999987984976256,0.5000006007511872,-0.005110847618929731
2025-02-14,0.0289448779752186,0.0560230360521102,1,1.0074387886295894e-06,0.9999989925611844,0.9999989925611844,1.0,0.01082956493035157
2025-02-18,-0.038447351836164,0.0542527997981801,1,1.8990056931336495e-06,0.9999981009942599,0.9999981009942599,0.5000009495028701,-0.004472243614586251
2025-02-19,0.0350567119555943,0.0541670284075716,1,3.671608974165628e-06,0.9999963283910676,0.9999963283910676,1.0,0.00964163053347037
2025-02-20,0.0115775420240126,0.054335584182453,1,3.0336299433220508e-06,0.999996966370017,0.999996966370017,1.0,0.00544515351618029
2025-02-21,-0.0481428677407905,0.0550296012604841,1,9.214028177603548e-07,0.9999990785971401,0.9999990785971401,0.5000004607014299,-0.002202217524425809
2025-02-24,0.0060210382625621,0.0544902201119989,1,2.6249548193953615e-06,0.9999973750451892,0.9999973750451892,0.5000013124774054,-0.00678698546695711
2025-02-25,-0.0597807984451539,0.054500416155265,1,1.0853583639191714e-06,0.9999989146416716,0.9999989146416716,0.5000005426791643,-0.01105367478875509
2025-02-26,-0.0641491520818349,0.0557509878147235,1,3.9502820273932143e-07,0.9999996049717409,0.9999996049717409,0.5000001975141295,-0.030894847596240928
2025-02-27,-0.0351520275531602,0.0554913670950854,1,8.209665328577449e-07,0.999999179033462,0.999999179033462,0.5000004104832689,-0.040240761511675494
2025-02-28,-0.0153666333647623,0.0544281862771893,1,8.708588919973545e-06,0.999991291411055,0.999991291411055,0.5000043542944725,-0.03368551463646985
2025-03-03,-0.0425855551298896,0.0536524388174532,1,0.00278802724406998,0.9972119727558881,0.9972119727558881,0.5013940136220559,-0.04340683331496019
2025-03-04,0.0068133188456744,0.0333577286136525,0,0.9996266416961352,0.0003733583038987996,0.0003733583038987996,0.9998133208480506,-0.030088009856794534
2025-03-05,0.0428938645535937,0.0352789246394275,0,0.999997946027583,2.053972416726678e-06,2.053972416726678e-06,0.9999989730137917,-0.008679406529708812
2025-03-06,-0.0154949603716011,0.0349454660873402,0,0.9999985896310759,1.4103689625692287e-06,1.4103689625692287e-06,0.9999992948155187,-0.004747993093396992
2025-03-07,-0.0206318096266184,0.0349931712523278,0,0.9995306510870584,0.0004693489129306826,0.0004693489129306826,0.9997653255435346,-0.005801028345768212
2025-03-10,-0.1441861599285243,0.0452226114717781,1,0.5377136701231151,0.46228632987691815,0.46228632987691815,0.7688568350615409,-0.02612114930549515
2025-03-11,0.0436508588256136,0.0455924479313391,1,0.4926646264690528,0.5073353735310014,0.5073353735310014,0.7463323132344992,-0.018753641309507314
2025-03-12,-0.0380011316106465,0.0456515946744433,1,0.4429234926837699,0.557076507316241,0.557076507316241,0.7214617463418795,-0.034932640542355356
2025-03-13,-0.0156142471137012,0.0441900779936959,1,0.40431844625010793,0.595681553749877,0.595681553749877,0.7021592231250615,-0.034956497890775366
2025-03-14,0.0461298279226919,0.0464886323784866,1,0.2898418626066612,0.7101581373933818,0.7101581373933818,0.6449209313033091,-0.02160417038091331
2025-03-17,0.0034094296368271,0.0455352809876976,1,0.2221285566892399,0.7778714433107221,0.7778714433107221,1.0,0.007914947532156968
2025-03-18,-0.0206334168632975,0.0452691852038447,1,0.1405126895376566,0.8594873104623131,0.8594873104623131,0.5702563447688435,-0.004941907605625251
2025-03-19,0.0665344267606873,0.0476309618395956,1,0.03736966737157893,0.9626303326283786,0.9626303326283786,1.0,0.01596520406864151
2025-03-20,-0.0296953395268502,0.047328622157546,1,0.011646046386059133,0.9883539536139608,0.9883539536139608,1.0,0.013148985586011708
2025-03-21,0.0,0.0468672427703424,1,0.004541910885506306,0.995458089114529,0.995458089114529,1.0,0.0039230200014733286
2025-03-24,0.0585342370818016,0.0494641719797681,1,0.0005377009990942369,0.9994622990008801,0.9994622990008801,1.0,0.01494798149046823
2025-03-25,-0.0069730650857154,0.0481526993700675,1,0.0004199919249137144,0.9995800080750833,0.9995800080750833,1.0,0.017680051845984653
2025-03-26,-0.0382542686235199,0.0469250033416346,1,0.0006961565225637796,0.9993038434773983,0.9993038434773983,0.5003480782613008,-0.0032776872308567908
2025-03-27,0.0026402630255995,0.046521873936289,1,0.000917138083474156,0.999082861916492,0.999082861916492,1.0,0.0031894332796331493
2025-03-28,-0.0688987209001127,0.0485926186338723,1,0.00014305186148304129,0.9998569481385269,0.9998569481385269,0.5000715259307366,-0.01059031090038939
2025-03-31,-0.0243042812322528,0.0480873720799643,1,0.0002135752557882836,0.9997864247442041,0.9997864247442041,0.500106787627898,-0.027158014563200272
2025-04-01,0.045960762840013,0.049481636642314,1,0.00012041604427520122,0.9998795839556918,0.9998795839556918,0.5000602080221541,-0.016571248978054596
2025-04-02,0.0,0.0481794456727037,1,0.00021860363951799617,0.999781396360448,0.999781396360448,0.500109301819776,-0.008920395253350612
2025-04-03,-0.0686473901835847,0.0500561634746005,1,2.9004320301926565e-05,0.9999709956797381,0.9999709956797381,0.500014502160131,-0.02317792589518745
2025-04-04,0.0139656499980581,0.0502830446107724,1,5.076268104156552e-05,0.9999492373189569,0.9999492373189569,0.5000253813405215,-0.006605051715553291
2025-04-07,-0.1638078425411056,0.053173622783514,1,1.372291474787535e-07,0.9999998627709014,0.9999998627709014,0.5000000686145494,-0.034505763977323856
2025-04-08,-0.0493492572179967,0.0523221337471386,1,6.345832351445095e-06,0.999993654167623,0.999993654167623,0.5000031729161885,-0.0535677679889258
2025-04-09,0.1150693634954383,0.0593974310578031,1,6.626554044867954e-08,0.9999999337344456,0.9999999337344456,0.5000000331327772,-0.030553895289838134
2025-04-10,-0.0830665781419,0.0617969455848433,1,2.546556884828316e-09,0.9999999974534148,0.9999999974534148,0.5000000012732926,-0.03343773288150119
2025-04-11,0.0360863952664157,0.0613554568789043,1,2.396795444291503e-08,0.9999999760320865,0.9999999760320865,0.5000000119839567,-0.02901358382782967
2025-04-14,0.0453685420746249,0.0625641320239637,1,1.0417915097211187e-08,0.9999999895820793,0.9999999895820793,1.0,0.01282169309531643
2025-04-15,-0.0195445778576283,0.0625534666746063,1,5.762404619565725e-09,0.9999999942375553,0.9999999942375553,1.0,0.01878262896739011
2025-04-16,-0.0124122088401776,0.0600140664950394,1,4.178899951875137e-08,0.9999999582109931,0.9999999582109931,0.5000000208945035,-0.006713685499733069
2025-04-17,-0.0025011006728514,0.0599087604009705,1,5.086419189918845e-08,0.999999949135828,0.999999949135828,1.0,0.00939940999407665
2025-04-21,-0.0050208864389431,0.0598707176901696,1,5.0823955243267414e-08,0.9999999491760732,0.9999999491760732,1.0,0.0011779536530048893
2025-04-22,0.0782341755482075,0.0612260835049269,1,2.600740186245891e-08,0.9999999739925446,0.9999999739925446,1.0,0.007751080347721409
2025-04-23,0.0499347178161736,0.0626922975808279,1,9.60710223124384e-09,0.9999999903928938,0.9999999903928938,1.0,0.021646939482481788
2025-04-24,-0.0133731788477618,0.0622939806521515,1,7.671747315031513e-09,0.9999999923282985,0.9999999923282985,1.0,0.02145474548096495
2025-04-25,0.0221902737626589,0.0625923969910726,1,9.074952299514901e-09,0.9999999909250619,0.9999999909250619,1.0,0.02639302036806701
2025-04-28,-0.0043988648793779,0.0607731794103485,1,2.6488052971057098e-08,0.9999999735119903,0.9999999735119903,1.0,0.02651742467998005
2025-04-29,0.0153120048197373,0.0606527819853201,1,3.510440713853128e-08,0.9999999648955515,0.9999999648955515,1.0,0.013932990534286007
2025-04-30,-0.0219466917842626,0.0598397569515437,1,4.1562325286996553e-08,0.9999999584376846,0.9999999584376846,0.5000000207811577,-0.0004432913858012311
2025-05-01,0.0320259955937403,0.0603616274442788,1,4.790815352779199e-08,0.9999999520917993,0.9999999520917993,1.0,0.008636543502499188
2025-05-02,-0.0021512903672944,0.058280930483094,1,1.666583465140971e-07,0.9999998333417036,0.9999998333417036,1.0,0.0037682306765085285
2025-05-05,-0.0137335395633866,0.0582989928816732,1,5.030586553904089e-06,0.9999949694133989,0.9999949694133989,1.0,0.0019012957397067883
2025-05-06,-0.0176215846917527,0.044095022292631,1,0.0333250346674257,0.9666749653326286,0.9666749653326286,0.5166625173336856,-0.004685422162591211
2025-05-07,0.0066445539466221,0.0420276895562477,1,0.04182014716977539,0.9581798528302602,0.9581798528302602,1.0,0.0010328269835857286
2025-05-08,0.1669974358737101,0.0497401376288773,1,0.0005554448100745355,0.9994445551899721,0.9994445551899721,1.0,0.028027115039579685
2025-05-09,0.0961023992058546,0.0476461837638116,1,0.00030805463586899064,0.9996919453641397,0.9996919453641397,1.0,0.04767785295420949
2025-05-12,0.0523390650955072,0.0480394742749231,1,0.00027182660694687467,0.9997281733930389,0.9997281733930389,1.0,0.06089237388598826
2025-05-13,0.0912518297795415,0.0502286305420156,1,4.627096322149635e-05,0.9999537290368058,0.9999537290368058,1.0,0.08266705678024709
2025-05-14,-0.0348988946308824,0.0510545091435467,1,2.0576413844552114e-05,0.9999794235861952,0.9999794235861952,1.0,0.07435836706474619
2025-05-15,-0.0283013101359,0.0517719573757137,1,1.3317774758494333e-05,0.9999866822252055,0.9999866822252055,1.0,0.035298617862824164
2025-05-16,0.0252525543232153,0.0514131698613459,1,2.406431236961133e-05,0.9999759356876337,0.9999759356876337,1.0,0.021128648886296307
2025-05-19,-0.0294366568805464,0.052436756198491,1,8.242162800385394e-06,0.9999917578372532,0.9999917578372532,1.0,0.004773504491085588
2025-05-20,-0.0073645460662343,0.0512150823591508,1,2.4227757082759027e-05,0.9999757722428769,0.9999757722428769,0.5000121138785616,-0.01494977067806957
2025-05-21,0.0047406014350511,0.0507847675598351,1,3.584475766274601e-05,0.9999641552423043,0.9999641552423043,0.5000179223788479,-0.007021871464882872
2025-05-22,0.0492154196721691,0.050744204307882,1,3.7532080526284126e-05,0.9999624679194874,0.9999624679194874,1.0,0.008481474496730947
2025-05-23,-0.0309905739039696,0.052007156324615,1,1.097298268589358e-05,0.9999890270173133,0.9999890270173133,0.5000054864913434,-0.0027671511487060312
2025-05-27,0.0503124234567917,0.0522357178680592,1,1.3448421885637943e-05,0.9999865515781537,0.9999865515781537,1.0,0.013182664918761588
2025-05-28,-0.0268538770676653,0.0532832813872362,1,4.565649350776293e-06,0.9999954343506577,0.9999954343506577,1.0,0.009284798718475387
2025-05-29,0.0125220768744105,0.0524717771774831,1,1.1109753647253006e-05,0.9999888902463954,0.9999888902463954,1.0,0.010841093806347268
2025-05-30,-0.030320684646142,0.0535483244374258,1,3.57565822090361e-06,0.9999964243417288,0.9999964243417288,0.5000017878291356,-0.005066127057314952
2025-06-02,-0.0160334164094789,0.0538941939633143,1,3.3116421352649352e-06,0.9999966883578092,0.9999966883578092,0.5000016558210953,-0.002074695558416812
2025-06-03,0.0373540250457847,0.0536211935739149,1,5.407012520822549e-06,0.9999945929874435,0.9999945929874435,0.5000027035062782,-0.004666375240618211
2025-06-04,-0.0015079513987554,0.0531683100562684,1,1.5110139864664852e-05,0.9999848898601336,0.9999848898601336,1.0,0.0004028098931637693
2025-06-05,-0.0374114633069027,0.0546154071359385,1,0.001383148765150699,0.9986168512348876,0.9986168512348876,0.5006915743825562,-0.00958389814309887
