Date,JPM_ret,JPM_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2020-02-07,-0.003202736542761,0.012823184312849,1,3.774113387219834e-05,0.9999622588657877,3.774113387219834e-05,1.0,0.0071390551989617594
2020-02-10,0.0041470856713813,0.012636293387736,1,3.352656151674603e-05,0.9999664734386497,3.352656151674603e-05,1.0,0.00644816855811646
2020-02-11,0.0018857678041876,0.0125126383118045,1,3.1370804785470774e-05,0.9999686291949194,3.1370804785470774e-05,1.0,0.00396667934501938
2020-02-12,0.0,0.0122266809992684,1,2.923098424552106e-05,0.9999707690155886,2.923098424552106e-05,1.0,0.0005950811175308794
2020-02-13,-0.0008697777693358,0.0117231830457191,1,2.7060226752704485e-05,0.9999729397728235,2.7060226752704485e-05,1.0,0.00039206783269441934
2020-02-14,-0.0030510069930671,0.0117182274072409,1,3.2771778990380585e-05,0.9999672282205619,3.2771778990380585e-05,1.0,0.00042241374263319936
2020-02-18,-0.0133287648792142,0.0119686854156658,1,0.00010721329015186603,0.9998927867097556,0.00010721329015186603,0.9999463933549241,-0.003072756367485901
2020-02-19,0.0135469285722731,0.0121910515910903,1,0.00047411919742189026,0.999525880802268,0.00047411919742189026,0.9997629404012891,-0.0007405242138688002
2020-02-20,0.0,0.012186753519905,1,0.004275364004118405,0.995724635996276,0.004275364004118405,0.9978623179979408,-0.0007405242138688005
2020-02-21,-0.0122942880819688,0.0125073250602801,1,0.0652484542616449,0.9347515457380104,0.0652484542616449,0.9673757728691775,-0.0030254262763954004
2020-02-24,-0.0272433083480252,0.0127340963961337,0,0.5486567652112931,0.4513432347887281,0.5486567652112931,0.7256716173943534,-0.00786388654738702
2020-02-25,-0.0456703758752625,0.016219480882953,0,0.9974471618327548,0.0025528381669980243,0.9974471618327548,0.5012764190836225,-0.014332208746596681
2020-02-26,0.0030053133898415,0.0155674003248941,0,0.9966246365747575,0.0033753634252821504,0.9966246365747575,0.5016876817126212,-0.016440531783083003
2020-02-27,-0.0425046519231309,0.0178885510744118,0,0.9999973947421781,2.605257516142245e-06,0.9999973947421781,0.500001302628911,-0.024941462167709184
2020-02-28,-0.0443059062543749,0.0194148780862557,0,0.9999999720312194,2.796862501323478e-08,0.9999999720312194,0.5000000139843903,-0.031343785802190396
2020-03-02,0.0455408535368145,0.0222607475563609,0,0.9999999981919245,1.8078187802784375e-09,0.9999999981919245,0.5000000009040377,-0.01678695342522246
2020-03-03,-0.0382466327520167,0.0233096296948787,0,0.9999999996025508,3.9759625283205445e-10,0.9999999996025508,0.5000000001987246,-0.015302204800573298
2020-03-04,0.0244087185228429,0.0238885821927588,0,0.9999999912288331,8.771215260737871e-09,0.9999999912288331,0.5000000043855835,-0.011021523773973021
2020-03-05,-0.0503056995512721,0.0251831815632931,0,1.0,2.5316700143253213e-13,1.0,0.5,-0.012581733299601262
2020-03-06,-0.0530633937230733,0.0268736372261308,0,1.0,2.3043728627747455e-15,1.0,0.5,-0.01433323079334094
2020-03-09,-0.1455522049697969,0.0400297227506825,0,1.0,3.8385693222871456e-61,1.0,0.5,-0.05255184249466323
2020-03-10,0.0748260995120408,0.0450090884992415,0,1.0,4.1215578159286206e-45,1.0,0.5,-0.02993729604185172
2020-03-11,-0.0482143336498888,0.0453738045769431,0,1.0,1.662426571370449e-43,1.0,0.5,-0.04446190647639806
2020-03-12,-0.086026654839693,0.0475847584128392,0,1.0,3.296368167173503e-56,1.0,0.5,-0.051606097534082226
2020-03-13,0.1656204134812405,0.0634725438438025,0,1.0,1.4531775550664063e-121,1.0,0.5,-0.007869336093219475
2020-03-16,-0.1621058538446066,0.0714701195531994,0,1.0,2.1142069432363608e-156,1.0,0.5,-0.011180065868181415
2020-03-17,0.0593192494605998,0.0737489439918132,0,1.0,2.0990590107149275e-126,1.0,0.5,-0.014281435878469617
2020-03-18,-0.1112320719228756,0.0761377324752912,0,1.0,2.213405514227049e-153,1.0,0.5,-0.026884983533066974
2020-03-19,0.0166680632271304,0.0765126552361084,0,1.0,7.089354273055755e-134,1.0,0.5,-0.006346039919702294
2020-03-20,-0.0213278964846969,0.0764673813411996,0,1.0,3.9425982281878976e-135,1.0,0.5,-0.04373570191288978
2020-03-23,-0.0550192912493447,0.076774874155528,0,1.0,4.927310580076153e-141,1.0,0.5,-0.022318389393837398
2020-03-24,0.1123837722973703,0.0825308379856958,0,1.0,4.965269575622075e-173,1.0,0.5,-0.0117054848264833
2020-03-25,0.0366381377596036,0.0833161325450945,0,1.0,4.0460006326124797e-163,1.0,1.0,0.01786855711001254
2020-03-26,0.0673419188540826,0.0850874163752938,0,1.0,2.179768876077614e-174,1.0,1.0,0.02800332823540298
2020-03-27,-0.0739040699500652,0.0859568688552969,0,1.0,1.4527858088120698e-184,1.0,1.0,0.017488093542329324
2020-03-30,0.0256742645464731,0.0853683280838457,0,1.0,1.2018384049620023e-171,1.0,1.0,0.03362680470149288
2020-03-31,-0.0378182847163696,0.0853617422240092,0,1.0,6.444420181861864e-175,1.0,1.0,0.0035863932987449027
2020-04-01,-0.0650500203468837,0.0856370714559922,0,1.0,4.623561870564198e-181,1.0,0.5,-0.01675123832255256
2020-04-02,0.0366600068979881,0.0860933933752965,0,1.0,1.666067402481725e-175,1.0,0.5,-0.022887620713771463
2020-04-03,-0.030003373113763,0.0856850015351348,0,1.0,2.2976614610935946e-175,1.0,0.5,-0.01410748134651102
2020-04-06,0.0623795613665625,0.0811282771214553,0,1.0,2.0018307632357836e-156,1.0,0.5,-0.006766421982493139
2020-04-07,0.0131040755748386,0.0792170845493767,0,1.0,8.315545957579177e-145,1.0,1.0,0.0034180500757485036
2020-04-08,0.0395857386383199,0.079114134988974,0,1.0,1.7282744721477647e-145,1.0,1.0,0.024345201872789223
2020-04-09,0.0859149193824443,0.0786553989116669,0,1.0,2.6791455349541297e-150,1.0,1.0,0.034196184369680464
2020-04-13,-0.0454916998112554,0.0701267522683041,0,1.0,4.924099269388956e-114,1.0,1.0,0.031098519030181987
2020-04-14,-0.0277782180516853,0.0596702777016348,0,1.0,2.66940958488282e-77,1.0,1.0,0.013066963146532426
2020-04-15,-0.0505770825513873,0.0594063997861871,0,1.0,1.3988173598306484e-79,1.0,1.0,0.0003307315212872433
2020-04-16,-0.0388552340741496,0.0543316695666161,0,1.0,1.4545305980296152e-63,1.0,0.5,-0.015357463021206658
2020-04-17,0.0860759569183342,0.0574118839243772,0,1.0,2.006558006468074e-77,1.0,0.5,-0.01532525551402868
2020-04-20,-0.0371384805841894,0.0579145805240208,0,1.0,3.0236506822904e-73,1.0,0.5,-0.01365461166861548
2020-04-21,-0.0294331886895063,0.0567858037838855,0,1.0,3.8319113985965207e-69,1.0,0.5,-0.01398560579617968
2020-04-22,0.003250926980535,0.0510254982819344,0,1.0,3.931881255937783e-52,1.0,0.5,-0.00322000388979522
2020-04-23,0.00055961221098,0.0503333831366625,0,1.0,1.6914889150720304e-50,1.0,1.0,0.0046629653672307
2020-04-24,0.0146588293624405,0.0479006860137875,0,1.0,7.182756535947815e-45,1.0,0.5,-0.009620460143948042
2020-04-27,0.0422014740099704,0.0459014052951873,0,1.0,3.410311988589676e-42,1.0,1.0,0.0062475307748839195
2020-04-28,0.0070558290131532,0.0455922112751422,0,1.0,9.40243249736073e-40,1.0,1.0,0.01354533431541582
2020-04-29,0.02661318756266,0.0449420798658608,0,1.0,5.7548750366289104e-39,1.0,1.0,0.01821778643184082
2020-04-30,-0.0216931162399628,0.0423734766267062,0,1.0,2.343012082501249e-34,1.0,1.0,0.013767240741652259
2020-05-01,-0.0265609503499927,0.0423910968658449,0,1.0,8.361269701285121e-35,1.0,1.0,0.005523284799165618
2020-05-04,-0.0119751513186889,0.0418247443353478,0,1.0,1.1021761727891776e-32,1.0,0.5,-0.005312040266566243
2020-05-05,-0.0015201864612372,0.0395574448260491,0,1.0,3.4499484980160974e-28,1.0,0.5,-0.007027243361444323
2020-05-06,-0.0189834606215208,0.0397081776767542,0,1.0,3.0992079159861765e-29,1.0,0.5,-0.01614657299828048
2020-05-07,0.0103592130070681,0.0386915377012859,0,1.0,1.1653918769026857e-26,1.0,0.5,-0.009736107148874303
2020-05-08,0.0162041806105786,0.0331262619860237,0,1.0,2.5515120538469045e-18,1.0,0.5,-0.0011830809567600416
2020-05-11,-0.0298921536306256,0.0322997739536213,0,1.0,1.0567704695816084e-18,1.0,0.5,-0.004766481419147382
2020-05-12,-0.0332237428356635,0.0325296046648812,0,1.0,2.395004786747255e-19,1.0,0.5,-0.011107192694032642
2020-05-13,-0.0350788044734645,0.0315475729464589,0,1.0,2.9018482295067636e-18,1.0,0.5,-0.01432626146442138
2020-05-14,0.0406935183095707,0.0319168998059811,0,1.0,2.2403778772506323e-18,1.0,0.5,-0.008259400403920862
2020-05-15,-0.0186834091435206,0.0248883019686704,0,0.9999999988885975,1.1113232226910238e-09,0.9999999988885975,0.5000000005557013,-0.015236918354740702
2020-05-18,0.0516132854312736,0.0267251235626624,0,1.0,6.751524022166534e-14,1.0,1.0,0.0010641694576391386
2020-05-19,-0.0198757724001687,0.0262656476803828,0,0.9999999999481588,5.154960276549267e-11,0.9999999999481588,1.0,0.003733763544738098
2020-05-20,0.0295576826713264,0.0270939273723603,0,0.999999999994543,5.712967196934581e-12,0.999999999994543,1.0,0.016661060973696278
2020-05-21,-0.0127824189435483,0.0272716415927902,0,0.9999999999863576,1.3304197771981402e-11,0.9999999999863576,1.0,0.005965873523072478
2020-05-22,-0.0077935423715152,0.0271169645276219,0,0.9999999999699867,3.004144224154112e-11,0.9999999999699867,1.0,0.008143846877473559
2020-05-26,0.0685680384405106,0.0298182292094486,0,1.0,8.477091278695557e-20,1.0,1.0,0.011534797479320956
2020-05-27,0.0563059492276592,0.0323066226166969,0,1.0,8.332107503700643e-21,1.0,1.0,0.026771141804886534
2020-05-28,-0.0150080208428294,0.0320513067811885,0,1.0,3.0276265751248365e-17,1.0,1.0,0.017858001102055376
2020-05-29,-0.0258673640816398,0.0322200836801611,0,1.0,3.13781888707595e-18,1.0,1.0,0.015241012074437075
2020-06-01,0.0131693381510716,0.0316641671620822,0,1.0,2.561728035910502e-16,1.0,1.0,0.019433588178954436
2020-06-02,0.0033413449240837,0.0314729243133998,0,1.0,5.686977043192487e-16,1.0,1.0,0.006388249475669057
