Date,VNQ_ret,VNQ_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2025-01-28,-0.0121493004381603,0.0126607743443107,0,0.9999957016288202,4.298371203368316e-06,4.298371203368316e-06,0.9999978508143983,-0.0011420050124018588
2025-01-29,-0.0133023962065097,0.012823438811572,0,0.9999919395614535,8.060438524049488e-06,8.060438524049488e-06,0.9999959697807379,-0.0002899108823587584
2025-01-30,0.0126416021246328,0.0130323217882462,0,0.9999997001082642,2.9989173900787267e-07,2.9989173900787267e-07,1.0,0.0007728443390393015
2025-01-31,-0.0022062728935899,0.0129375658847236,0,0.9999989905786016,1.0094213816823003e-06,1.0094213816823003e-06,0.9999994952893092,-0.0003530710209007183
2025-02-03,-0.0021005740688205,0.0127564849070333,0,0.9999993539297334,6.460702508592413e-07,6.460702508592413e-07,0.9999996769648746,-0.0034233882964895186
2025-02-04,0.0007743999292246,0.0124456009020277,0,0.9999998033073518,1.9669259956957476e-07,1.9669259956957476e-07,0.9999999016537002,-0.0008386482230125384
2025-02-05,0.0139463217060993,0.0123641956962,0,0.999999952231293,4.7768695399756115e-08,4.7768695399756115e-08,1.0,0.004611095359509261
2025-02-06,0.0025049085235269,0.0120670218265838,0,0.9999999378823096,6.211763838824283e-08,6.211763838824283e-08,1.0,0.0025837566392880812
2025-02-07,-0.0032686658259819,0.0121353775893509,0,0.999999816946814,1.8305313819263508e-07,1.8305313819263508e-07,1.0,0.002371278052809681
2025-02-10,-0.0004366824202843,0.0103916010181046,0,0.9999999979471568,2.052822418872231e-09,2.052822418872231e-09,1.0,0.002704056382516921
2025-02-11,0.0043578357431779,0.0101885435850139,0,0.9999999994157633,5.841841384847568e-10,5.841841384847568e-10,1.0,0.0034207435453075816
2025-02-12,-0.009283067152828,0.0104379169409172,0,0.9999999841294313,1.5870527512320422e-08,1.5870527512320422e-08,0.9999999920647362,-0.0012251342264778785
2025-02-13,0.0099352153311106,0.0105569739657001,0,0.999999999299007,7.010083320184055e-10,7.010083320184055e-10,1.0,0.0002609271350388614
2025-02-14,-0.0045733015011761,0.0097410500514761,0,0.9999999988451691,1.1548755198036879e-09,1.1548755198036879e-09,1.0,2.168404344971009e-17
2025-02-18,0.0044646683860691,0.0097607426034527,0,0.9999999997833129,2.1665452517792734e-10,2.1665452517792734e-10,1.0,0.0009802701612707015
2025-02-19,0.0007601840981222,0.008876470543848,0,0.999999999941565,5.842007688518607e-11,5.842007688518607e-11,1.0,0.00026073983225956157
2025-02-20,0.0047656271756472,0.0078384450560017,0,0.9999999999970441,2.9687485100373123e-12,2.9687485100373123e-12,1.0,0.003070478697954601
2025-02-21,-0.0098812739469733,0.0081097027272719,0,0.9999999998370868,1.629455816333454e-10,1.629455816333454e-10,0.9999999999185272,-0.0008928191576621787
2025-02-24,0.0039208121627644,0.0081193138426298,0,0.9999999999936335,6.312665154211106e-12,6.312665154211106e-12,1.0,0.0008060035751259213
2025-02-25,0.0122075909492286,0.0080374021144038,0,0.9999999999984084,1.5571238722073778e-12,1.5571238722073778e-12,1.0,0.002354588087757821
2025-02-26,-0.0041964665090022,0.0075527577765137,0,0.9999999999886313,1.1397827014144173e-11,1.1397827014144173e-11,1.0,0.0013632579663329408
2025-02-27,0.0039817084209851,0.0067724395716134,0,0.9999999999996589,3.653862381299607e-13,3.653862381299607e-13,1.0,0.001206474215400521
2025-02-28,0.0084488298076071,0.0064815970175808,0,0.9999999999998863,8.811004960567146e-14,8.811004960567146e-14,1.0,0.004872494966316601
2025-03-03,0.0046749089895101,0.0064455234121653,0,0.9999999999998863,1.6255493722368287e-13,1.6255493722368287e-13,1.0,0.005023314331665741
2025-03-04,-0.0116211447168578,0.0070877744094717,0,0.999999999960437,3.9537553880677823e-11,3.9537553880677823e-11,1.0,0.0002575671984484607
2025-03-05,0.0110911362549189,0.0073952568720056,0,0.9999999999995453,4.267042179131674e-13,4.267042179131674e-13,1.0,0.0033150877512326806
2025-03-06,-0.0260007424483699,0.0091990625851259,0,0.9999996340771519,3.6592289616760914e-07,3.6592289616760914e-07,0.9999998170385519,-0.002681402422638319
2025-03-07,0.0059688717844688,0.0092791323717747,0,0.9999999999416787,5.829891068632379e-11,5.829891068632379e-11,0.9999999999708505,-0.003177394027265979
2025-03-10,-0.0096766442640888,0.0095152241512992,0,0.9999999974287448,2.57127120749556e-09,2.57127120749556e-09,0.9999999987143644,-0.006047704677985759
2025-03-11,-0.0117589659235824,0.0098693755114677,0,0.999999990522042,9.477905947962675e-09,9.477905947962675e-09,0.999999995261047,-0.006075268919330678
2025-03-12,-0.0031000864882086,0.0098120957406429,0,0.9999999990244532,9.755167993592435e-10,9.755167993592435e-10,0.9999999995122416,-0.008913513467956179
2025-03-13,-0.0199356672224392,0.0105473364947006,0,0.9999995220905481,4.779094979676006e-07,4.779094979676006e-07,0.999999761045251,-0.007700498422770039
2025-03-14,0.0198247813271215,0.0113167104051061,0,0.999999997180339,2.8196070228657138e-09,2.8196070228657138e-09,0.9999999985901965,-0.0049293165142394995
2025-03-17,0.016934578881985,0.011965758311717,0,0.9999999843521438,1.5647876085171885e-08,1.5647876085171885e-08,1.0,0.00039292811497526126
2025-03-18,-0.005247527421193,0.0119739686958097,0,0.9999998152648175,1.8473517658995596e-07,1.8473517658995596e-07,1.0,0.0016952158154531411
2025-03-19,0.0012049132482265,0.0119767313108535,0,0.999999939702322,6.029762979923965e-08,6.029762979923965e-08,1.0,0.002556215762740161
2025-03-20,-0.0006570454243806,0.0119143827255597,0,0.9999999301053346,6.989463042372754e-08,6.989463042372754e-08,1.0,0.006411940122351881
2025-03-21,-0.0111265254065213,0.0119680707703864,0,0.9999993145006632,6.854993431178442e-07,6.854993431178442e-07,1.0,0.00022167877562332162
2025-03-24,0.0152809731421758,0.0124609997953966,0,0.9999999404311684,5.9568818899063776e-08,5.9568818899063776e-08,0.9999999702155906,-0.00010904237233851818
2025-03-25,-0.0112838881766262,0.0123379269859873,0,0.9999983886230461,1.6113769042577026e-06,1.6113769042577026e-06,0.9999991943115478,-0.001316314523425159
2025-03-26,0.0038938494547956,0.0123726019105075,0,0.9999998902051235,1.0979487402778881e-07,1.0979487402778881e-07,0.999999945102563,-0.0007785272821113391
2025-03-27,-0.0025569917713472,0.012321567377208,0,0.999999751074287,2.4892569210193786e-07,2.4892569210193786e-07,0.999999875537154,-0.001158516551504659
2025-03-28,-0.0013368576834485,0.0121072467890272,0,0.9999998775260868,1.2247396580320592e-07,1.2247396580320592e-07,1.0,0.0007994169931099009
2025-03-31,0.0092094719110479,0.0122756061918835,0,0.9999999496403701,5.0359644528066526e-08,5.0359644528066526e-08,0.9999999748201778,-0.00041488325311567903
2025-04-01,0.0004418473729314,0.0120487057476184,0,0.9999998372959585,1.6270402777505946e-07,1.6270402777505946e-07,1.0,0.001930263856795841
2025-04-02,0.0060534903597954,0.0118346753971535,0,0.9998471755791545,0.00015282442087982418,0.00015282442087982418,1.0,0.002362192037795801
2025-04-03,-0.0347230155211152,0.0129089078280154,1,0.01029962426515196,0.9897003757348094,0.9897003757348094,0.5051498121325952,-0.0040710127121577995
2025-04-04,-0.0443692050542766,0.0159083013026606,1,4.124631790702254e-09,0.9999999958753278,0.9999999958753278,0.5000000020623361,-0.012677482186323419
2025-04-07,-0.0265974371441062,0.0166505190233399,1,1.1804130876485879e-08,0.9999999881958958,0.9999999881958958,0.5000000059020522,-0.01983886399735424
2025-04-08,-0.0271991020005157,0.0173250429961721,1,2.0738702297705918e-09,0.9999999979261247,0.9999999979261247,0.5000000010369376,-0.02536705387204366
2025-04-09,0.0579448581215421,0.0224410816125709,1,3.341142884254137e-19,1.0,1.0,0.5,-0.014988780319694316
2025-04-10,-0.0230913595332832,0.0225792230739617,1,1.009830417517638e-14,1.0,1.0,0.5,-0.012662449122127922
2025-04-11,0.0121504850529322,0.0222358434699741,1,2.0036619855235922e-13,0.9999999999997726,0.9999999999997726,0.5000000000001137,-0.0013585111006861612
2025-04-14,0.0204753910778591,0.0224183881596568,1,4.0233210433705324e-14,1.0,1.0,1.0,0.008056054543706899
2025-04-15,0.0030413251682068,0.0224527347334557,1,1.5994431167673922e-13,0.9999999999998863,0.9999999999998863,1.0,0.014104139977451396
2025-04-16,-0.0007010731382603,0.0224394979548749,1,1.6592925658662503e-13,0.9999999999998863,0.9999999999998863,1.0,0.0023749537254909195
2025-04-17,0.0148494469362412,0.0227811806696582,1,2.610219869613017e-14,1.0,1.0,1.0,0.009963115019395799
2025-04-21,-0.0210631610457544,0.023097264473984,1,3.5244708201390274e-15,1.0,1.0,1.0,0.003320385799658479
2025-04-22,0.019219084964202,0.0232727580540478,1,2.8010434461042053e-15,1.0,1.0,1.0,0.00306912457692706
2025-04-23,0.0018440760815523,0.0231904939138578,1,1.6489894577738018e-14,1.0,1.0,1.0,0.0028296747595961597
2025-04-24,0.0036783417682934,0.0231878441875271,1,1.5955571558583586e-14,1.0,1.0,1.0,0.0037055577409069
2025-04-25,-0.001722549441557,0.0231868514918419,1,1.6699296989802825e-14,1.0,1.0,1.0,0.0003911584653472599
2025-04-28,0.0061869643104085,0.0232521990390001,1,1.17523833965868e-14,1.0,1.0,1.0,0.00584118353657984
2025-04-29,0.0053539138765156,0.0231770535173223,1,1.552257419411797e-14,1.0,1.0,1.0,0.0030681493190425598
2025-04-30,0.0035158306961878,0.0232001711585552,1,1.5422425329536935e-14,1.0,1.0,1.0,0.0034025002419696597
2025-05-01,0.003277689872333,0.0231624037273528,1,1.7479154686306248e-14,1.0,1.0,1.0,0.0033223698627775798
2025-05-02,0.0122246853088194,0.0219546366435365,1,4.887013850066434e-13,0.9999999999995453,0.9999999999995453,1.0,0.00611181681285286
2025-05-05,-0.002231870750489,0.0192293016893496,1,1.839305048912906e-09,0.9999999981606607,0.9999999981606607,1.0,0.004428049800673359
2025-05-06,-0.0077384662085054,0.0181295033282416,1,2.8188241641716262e-06,0.9999971811757798,0.9999971811757798,1.0,0.0018095737836691596
2025-05-07,0.0011251829830055,0.016606316453935,1,0.020396501454359756,0.9796034985456223,0.9796034985456223,1.0,0.0013314442410327
2025-05-08,-0.0039438690833004,0.011184004060829,0,0.9998424641999132,0.000157535800118836,0.000157535800118836,0.9999212320999407,-0.0001128675500939801
