Date,MSFT_ret,MSFT_vol,regime,prob_regime_0,prob_regime_1,p_high_vol,risk_scale,momentum
2024-05-28,0.0003719036686854,0.0120294397667671,0,0.9999602268387063,3.977316122089037e-05,3.977316122089037e-05,1.0,0.002328064996876644
2024-05-29,-0.0026759809925752,0.0087007076207101,0,0.9998722858633992,0.00012771413683543327,0.00012771413683543327,1.0,6.0611278289544356e-05
2024-05-30,-0.0343701888674391,0.0120950575801127,0,0.9983198666782498,0.0016801333214387201,0.0016801333214387201,0.9991599333392807,-0.007502153085651456
2024-05-31,0.0011086902778794,0.0120452549211215,0,0.9998459655345733,0.00015403446540122363,0.00015403446540122363,0.9999229827672994,-0.005638453062105176
2024-06-03,-0.0038858802779188,0.0111735206648569,0,0.999963122515199,3.687748465243821e-05,3.687748465243821e-05,0.9999815612576738,-0.007890291238273655
2024-06-04,0.00614764312788,0.0106189640647831,0,0.9999725017293787,2.749827089995831e-05,2.749827089995831e-05,0.9999862508645501,-0.006735143346434736
2024-06-05,0.0189035243359762,0.0110744971771702,0,0.9999403519396302,5.964806046584327e-05,5.964806046584327e-05,0.999970175969767,-0.0024192422807244552
2024-06-06,0.0012021243412086,0.0110723883539878,0,0.9999729123959552,2.70876044712612e-05,2.70876044712612e-05,1.0,0.004695220361005085
2024-06-07,-0.001579418049178,0.0110792148569134,0,0.9999736556715564,2.6344328864697373e-05,2.6344328864697373e-05,1.0,0.0041575986955936055
2024-06-10,0.0094396657945672,0.0111824760641148,0,0.9999689140515874,3.108594848274577e-05,3.108594848274577e-05,1.0,0.006822707910090806
2024-06-11,0.0111790552871186,0.0113335469299008,0,0.9999617040505485,3.8295949519830755e-05,3.8295949519830755e-05,1.0,0.007828990341938525
2024-06-12,0.0191824213666195,0.011913198804264,0,0.9999244181851275,7.558181496505026e-05,7.558181496505026e-05,1.0,0.007884769748067186
2024-06-13,0.0011783238057167,0.0114241448665934,0,0.9999700680905759,2.9931909639008904e-05,2.9931909639008904e-05,1.0,0.007880009640968804
2024-06-14,0.0022394668651048,0.0113016913057953,0,0.9999728734679088,2.7126532157693563e-05,2.7126532157693563e-05,1.0,0.008643786623825365
2024-06-17,0.0130201378931509,0.0114879842095698,0,0.9999603021873482,3.9697812409988176e-05,3.9697812409988176e-05,1.0,0.009359881043542106
2024-06-18,-0.0045377590021019,0.0114135112274985,0,0.9999687895283612,3.1210471453536313e-05,3.1210471453536313e-05,1.0,0.0062165181856980055
2024-06-20,-0.0014349838314537,0.0113455235242591,0,0.999972164459876,2.783553975426295e-05,2.783553975426295e-05,1.0,0.0020930371460833653
2024-06-21,0.0091124934757443,0.0114562630181685,0,0.9999681975187137,3.1802481726794114e-05,3.1802481726794114e-05,1.0,0.0036798710800888847
2024-06-24,-0.0047021630838157,0.0113146768692074,0,0.999969668913556,3.0331086035983254e-05,3.0331086035983254e-05,1.0,0.002291545090304785
2024-06-25,0.0073002317137115,0.0113129855722221,0,0.999971239361687,2.8760638181298198e-05,2.8760638181298198e-05,1.0,0.0011475638544169047
2024-06-26,0.0026795185794008,0.011303405819025,0,0.9999736600379253,2.6339962464394935e-05,2.6339962464394935e-05,1.0,0.002591019370717445
2024-06-27,0.0015248305490529,0.011241505908861,0,0.9999723109535774,2.768904633782012e-05,2.768904633782012e-05,1.0,0.003182982246818764
2024-06-28,-0.0131141785319765,0.0081272035986884,0,0.9999428321996283,5.716780068797089e-05,5.716780068797089e-05,0.999971416099656,-0.0012623521547253948
2024-07-01,0.0216455669380625,0.0090240567939473,0,0.9999232286730483,7.677132711049757e-05,7.677132711049757e-05,1.0,0.004007193849650245
2024-07-02,0.0055676471871099,0.0087911044014325,0,0.9999730546097995,2.6945390430525726e-05,2.6945390430525726e-05,1.0,0.003660676944329925
2024-07-03,0.0032389610802017,0.0087994885361614,0,0.9999759199315857,2.4080068792667475e-05,2.4080068792667475e-05,1.0,0.003772565444490105
2024-07-05,0.0146287034951818,0.0084931973063667,0,0.9999615091514981,3.849084888564307e-05,3.849084888564307e-05,1.0,0.006393340033715886
2024-07-08,-0.0028271496931767,0.0086318992289634,0,0.9999720022251023,2.7997774806127033e-05,2.7997774806127033e-05,1.0,0.008450745801475843
2024-07-09,-0.0144745186388381,0.0095566658772526,0,0.9999454971504222,5.4502849889589566e-05,5.4502849889589566e-05,1.0,0.0012267286860957252
